Dates,Dem_trifecta,Rep_Trifecta,None
2021-06-13,3.12,5.34,2.84
2021-06-14,3.05,5.29,2.75
2021-06-15,2.97,5.24,2.68
2021-06-16,2.92,4.69,2.61
2021-06-17,2.86,4.59,2.49
2021-06-18,2.81,4.44,2.44
2021-06-19,2.78,4.51,2.37
2021-06-20,2.75,4.59,2.34
2021-06-21,2.77,4.62,2.33
2021-06-22,2.75,4.75,2.24
2021-06-23,2.80,4.78,2.25
2021-06-24,2.90,4.92,2.24
2021-06-25,3.06,5.13,2.19
2021-06-26,3.13,5.15,2.22
2021-06-27,3.28,5.17,2.26
2021-06-28,3.32,5.32,2.27
2021-06-29,3.35,5.48,2.33
2021-06-30,2.65,5.81,2.37
2021-07-01,2.68,6.05,2.44
2021-07-02,2.64,6.21,2.55
2021-07-03,2.41,6.33,2.65
2021-07-04,2.14,6.48,2.74
2021-07-05,2.00,6.41,2.82
2021-07-06,2.55,6.46,2.76
2021-07-07,3.32,6.80,2.99
2021-07-08,3.36,7.55,3.21
2021-07-09,3.56,8.30,3.47
2021-07-10,3.72,8.83,3.64
2021-07-11,3.85,9.24,3.82
2021-07-12,5.12,10.12,4.00
2021-07-13,5.20,11.23,4.56
2021-07-14,5.61,12.29,4.95
2021-07-15,6.07,12.97,5.34
2021-07-16,6.46,13.90,5.77
2021-07-17,6.62,14.70,6.13
2021-07-18,6.81,15.51,6.41
2021-07-19,7.64,16.27,6.71
2021-07-20,7.90,17.34,7.30
2021-07-21,8.40,18.59,8.40
2021-07-22,9.74,20.21,9.15
2021-07-23,10.53,21.83,9.99
2021-07-24,10.85,23.32,10.73
2021-07-25,11.09,24.25,11.40
2021-07-26,12.29,25.58,12.07
2021-07-27,13.04,27.50,13.76
2021-07-28,13.64,29.43,14.43
2021-07-29,13.85,31.38,15.63
2021-07-30,14.52,33.65,16.89
2021-07-31,14.87,35.53,17.82
2021-08-01,15.16,36.59,18.70
2021-08-02,16.96,37.79,19.52
2021-08-03,17.52,39.55,19.94
2021-08-04,18.61,41.94,20.84
2021-08-05,19.52,43.45,21.92
2021-08-06,20.58,44.24,22.90
2021-08-07,22.79,45.85,23.99
2021-08-08,25.00,47.19,24.83
2021-08-09,22.50,47.91,25.44
2021-08-10,22.93,49.46,26.40
2021-08-11,23.33,50.20,27.46
2021-08-12,23.67,51.64,28.59
2021-08-13,24.16,52.55,29.82
2021-08-14,24.79,53.77,30.25
2021-08-15,25.11,54.55,30.88
2021-08-16,25.50,55.60,31.27
2021-08-17,25.96,56.58,31.73
2021-08-18,26.79,57.99,32.36
2021-08-19,28.55,58.40,33.36
2021-08-20,29.12,59.70,33.66
2021-08-21,29.19,59.85,33.68
2021-08-22,29.55,61.09,33.55
2021-08-23,29.61,61.49,34.88
2021-08-24,29.72,62.04,35.88
2021-08-25,29.58,62.34,37.27
2021-08-26,28.97,63.70,37.81
2021-08-27,29.32,64.74,38.55
2021-08-28,29.57,64.99,39.19
2021-08-29,29.45,63.97,39.50
2021-08-30,30.24,64.94,39.89
2021-08-31,30.65,65.92,40.20
2021-09-01,32.43,66.96,39.65
2021-09-02,32.43,66.49,39.92
2021-09-03,32.06,66.67,40.12
2021-09-04,31.38,66.38,40.14
2021-09-05,31.52,67.10,40.07
2021-09-06,30.66,65.46,40.11
2021-09-07,29.34,61.95,37.21
2021-09-08,27.00,60.65,37.79
2021-09-09,26.35,61.10,37.95
2021-09-10,26.17,59.90,38.47
2021-09-11,26.87,60.33,38.76
2021-09-12,26.42,59.52,39.13
2021-09-13,26.16,59.84,39.41
2021-09-14,27.65,61.48,42.60
2021-09-15,27.72,60.27,43.21
2021-09-16,28.30,57.98,43.42
2021-09-17,28.01,56.83,43.33
2021-09-18,27.21,54.43,43.08
2021-09-19,26.94,52.68,43.06
2021-09-20,26.60,50.94,42.85
2021-09-21,25.51,48.80,42.94
2021-09-22,25.05,46.87,41.73
2021-09-23,24.28,44.86,41.02
2021-09-24,23.64,43.34,40.03
2021-09-25,22.37,41.84,39.75
2021-09-26,21.01,41.17,39.38
2021-09-27,23.13,40.60,39.05
2021-09-28,22.76,39.44,38.56
2021-09-29,22.73,38.09,38.09
2021-09-30,22.42,37.43,37.25
2021-10-01,22.38,36.03,37.53
2021-10-02,22.22,35.14,36.83
2021-10-03,22.19,34.36,36.72
2021-10-04,21.47,33.40,36.65
2021-10-05,21.21,32.38,36.27
2021-10-06,21.05,31.48,36.47
2021-10-07,20.82,30.57,36.51
2021-10-08,20.54,29.87,36.02
2021-10-09,20.43,28.76,36.06
2021-10-10,20.19,28.38,35.66
2021-10-11,20.05,27.65,34.73
2021-10-12,19.85,26.83,34.35
2021-10-13,19.49,26.26,33.84
2021-10-14,19.10,25.17,33.32
2021-10-15,18.80,24.09,32.80
2021-10-16,18.74,23.70,32.27
2021-10-17,18.72,23.01,31.67
2021-10-18,18.44,22.84,31.23
2021-10-19,18.40,22.31,30.59
2021-10-20,18.16,21.28,29.26
2021-10-21,18.26,20.73,28.64
2021-10-22,18.27,20.31,27.55
2021-10-23,17.60,19.32,25.70
2021-10-24,16.96,18.62,24.07
2021-10-25,15.93,19.27,26.60
2021-10-26,18.55,19.59,26.34
2021-10-27,18.76,19.97,26.76
2021-10-28,18.99,19.50,26.35
2021-10-29,19.20,19.72,26.64
2021-10-30,19.18,19.66,26.56
2021-10-31,19.36,19.59,26.39
2021-11-01,21.97,19.88,26.55
2021-11-02,19.50,18.95,26.67
2021-11-03,19.32,18.45,26.89
2021-11-04,19.74,18.50,27.37
2021-11-05,19.94,18.18,28.04
2021-11-06,20.19,18.06,28.09
2021-11-07,20.35,18.32,28.24
2021-11-08,20.59,18.58,28.77
2021-11-09,20.76,19.03,29.28
2021-11-10,21.61,19.26,30.00
2021-11-11,20.65,19.09,28.94
2021-11-12,20.98,20.42,31.97
2021-11-13,22.62,20.78,32.33
2021-11-14,22.73,20.71,32.61
2021-11-15,21.99,21.21,35.77
2021-11-16,22.35,21.34,37.46
2021-11-17,22.64,21.76,38.73
2021-11-18,24.08,22.79,41.84
2021-11-19,24.25,22.48,40.82
2021-11-20,22.90,22.66,41.01
2021-11-21,22.94,22.74,41.23
2021-11-22,24.13,22.95,41.22
2021-11-23,24.40,23.08,41.32
2021-11-24,24.11,23.04,42.15
2021-11-25,22.87,21.24,39.58
2021-11-26,21.85,20.08,37.37
2021-11-27,22.38,19.94,37.87
2021-11-28,23.55,20.35,38.76
2021-11-29,20.55,19.34,35.48
2021-11-30,21.12,20.14,36.71
2021-12-01,22.15,21.13,37.79
2021-12-02,25.27,23.55,42.01
2021-12-03,27.66,25.89,46.92
2021-12-04,27.69,27.19,47.40
2021-12-05,27.06,27.64,46.87
2021-12-06,32.49,29.78,51.45
2021-12-07,33.24,29.57,51.55
2021-12-08,33.08,29.52,51.12
2021-12-09,32.56,29.91,49.93
2021-12-10,32.35,28.96,49.02
2021-12-11,32.28,28.58,49.17
2021-12-12,32.27,28.34,49.62
2021-12-13,32.16,28.19,49.86
2021-12-14,31.94,28.28,49.09
2021-12-15,32.61,29.02,48.93
2021-12-16,33.08,29.84,49.63
2021-12-17,34.37,31.22,49.12
2021-12-18,35.30,32.83,49.24
2021-12-19,36.32,34.60,49.43
2021-12-20,39.89,37.60,50.40
2021-12-21,42.15,41.12,52.53
2021-12-22,45.99,44.76,55.47
2021-12-23,51.71,49.36,57.53
2021-12-24,57.34,52.52,59.39
2021-12-25,58.77,53.20,61.21
2021-12-26,63.02,56.90,61.90
2021-12-27,67.59,65.37,70.70
2021-12-28,76.72,71.99,75.51
2021-12-29,84.68,81.31,86.96
2021-12-30,97.25,93.19,99.25
2021-12-31,109.40,101.37,108.97
2022-01-01,117.44,110.44,115.25
2022-01-02,120.08,119.33,119.70
2022-01-03,135.45,138.56,143.84
2022-01-04,156.49,149.03,156.52
2022-01-05,167.66,159.01,165.75
2022-01-06,177.14,167.22,175.79
2022-01-07,192.52,182.78,194.52
2022-01-08,195.24,192.97,198.99
2022-01-09,199.78,194.53,204.11
2022-01-10,237.62,195.30,216.34
2022-01-11,237.40,201.54,221.85
2022-01-12,243.10,206.90,230.02
2022-01-13,252.29,212.12,231.48
2022-01-14,248.17,214.73,232.59
2022-01-15,244.62,219.53,232.31
2022-01-16,240.20,220.65,234.99
2022-01-17,230.25,215.48,209.24
2022-01-18,223.02,219.80,223.31
2022-01-19,216.23,219.39,224.26
2022-01-20,209.72,214.82,220.95
2022-01-21,208.20,211.05,216.43
2022-01-22,204.45,201.76,213.32
2022-01-23,201.19,201.99,205.94
2022-01-24,200.85,203.76,211.49
2022-01-25,188.31,191.26,188.02
2022-01-26,183.41,180.47,173.01
2022-01-27,173.95,172.43,165.25
2022-01-28,160.32,163.90,154.28
2022-01-29,157.75,157.82,149.51
2022-01-30,155.19,147.92,145.88
2022-01-31,128.15,134.46,130.79
2022-02-01,121.47,125.50,121.38
2022-02-02,109.24,117.47,110.13
2022-02-03,100.66,108.04,99.41
2022-02-04,90.45,96.95,87.67
2022-02-05,87.75,90.05,82.56
2022-02-06,85.43,87.43,79.85
2022-02-07,67.95,77.77,71.34
2022-02-08,67.32,71.34,65.98
2022-02-09,66.72,64.17,60.27
2022-02-10,53.34,58.97,55.52
2022-02-11,48.74,54.09,50.35
2022-02-12,47.57,51.17,50.46
2022-02-13,46.69,47.23,50.26
2022-02-14,41.20,42.98,44.13
2022-02-15,35.56,40.56,40.49
2022-02-16,30.69,37.60,36.71
2022-02-17,29.08,33.54,34.27
2022-02-18,27.46,31.09,31.54
2022-02-19,26.66,29.49,30.62
2022-02-20,26.98,27.97,30.01
2022-02-21,18.58,24.59,25.39
2022-02-22,22.00,23.00,24.60
2022-02-23,20.32,21.63,23.67
2022-02-24,20.14,20.40,21.75
2022-02-25,19.63,18.61,20.45
2022-02-26,19.53,17.59,19.67
2022-02-27,19.18,16.91,19.14
2022-02-28,22.57,16.64,18.96
2022-03-01,16.72,15.10,16.93
2022-03-02,16.34,14.32,15.17
2022-03-03,15.71,13.07,14.13
2022-03-04,14.21,12.06,12.38
2022-03-05,13.94,11.51,11.69
2022-03-06,13.33,11.22,11.37
2022-03-07,11.88,10.86,11.13
2022-03-08,11.58,10.24,10.44
2022-03-09,11.22,10.23,9.63
2022-03-10,10.45,9.93,9.07
2022-03-11,10.19,9.79,8.70
2022-03-12,10.12,9.59,8.75
2022-03-13,10.12,9.64,8.76
2022-03-14,9.60,8.69,7.94
2022-03-15,9.48,8.31,7.71
2022-03-16,9.20,7.76,7.68
2022-03-17,8.62,7.62,7.58
2022-03-18,8.54,7.05,7.46
2022-03-19,8.57,6.87,7.35
2022-03-20,8.51,6.94,7.32
2022-03-21,9.00,6.72,7.26
2022-03-22,8.94,6.83,7.12
2022-03-23,9.22,6.49,6.81
2022-03-24,9.38,6.34,6.64
2022-03-25,9.14,6.25,6.67
2022-03-26,9.15,6.21,6.66
2022-03-27,9.28,5.99,6.65
2022-03-28,8.44,5.98,6.63
2022-03-29,8.53,5.61,6.69
2022-03-30,8.26,6.12,6.73
2022-03-31,8.47,6.04,6.86
2022-04-01,8.77,5.69,6.84
2022-04-02,8.91,5.70,6.84
2022-04-03,8.85,5.78,6.74
2022-04-04,8.21,5.69,6.83
2022-04-05,9.62,5.62,6.83
2022-04-06,10.12,5.17,7.47
2022-04-07,9.57,5.34,7.58
2022-04-08,10.74,5.83,7.65
2022-04-09,10.95,5.89,7.77
2022-04-10,11.43,5.94,7.92
2022-04-11,11.83,5.99,8.32
2022-04-12,10.75,6.00,8.87
2022-04-13,10.54,5.74,10.11
2022-04-14,13.52,5.87,10.72
2022-04-15,13.39,5.94,11.37
2022-04-16,13.65,5.99,11.51
2022-04-17,13.67,6.04,11.59
2022-04-18,13.97,6.19,11.35
2022-04-19,16.08,6.37,12.25
2022-04-20,16.54,6.76,13.06
2022-04-21,14.32,7.14,13.24
2022-04-22,16.86,7.22,13.59
2022-04-23,17.18,7.46,13.83
2022-04-24,17.34,7.59,13.98
2022-04-25,17.96,7.66,15.22
2022-04-26,19.19,7.84,15.30
2022-04-27,19.72,8.42,16.77
2022-04-28,20.40,8.65,17.50
2022-04-29,20.97,9.13,18.29
2022-04-30,21.17,9.17,18.45
2022-05-01,21.36,9.28,18.55
2022-05-02,21.93,9.59,19.57
2022-05-03,23.16,9.59,19.31
2022-05-04,23.97,10.21,21.32
2022-05-05,24.36,11.13,22.30
2022-05-06,25.39,11.19,23.43
2022-05-07,25.97,11.06,23.13
2022-05-08,26.30,10.87,23.05
2022-05-09,27.48,12.14,25.78
2022-05-10,29.03,12.69,27.43
2022-05-11,29.72,13.51,29.21
2022-05-12,30.59,13.90,30.46
2022-05-13,30.61,15.24,31.59
2022-05-14,29.87,15.84,31.85
2022-05-15,31.09,16.45,32.05
2022-05-16,32.15,15.90,33.73
2022-05-17,34.53,16.39,34.41
2022-05-18,34.95,17.35,35.76
2022-05-19,34.87,18.52,35.90
2022-05-20,39.13,18.79,35.62
2022-05-21,39.51,19.14,35.77
2022-05-22,38.49,19.56,35.83
2022-05-23,37.57,20.16,35.53
2022-05-24,38.04,20.47,35.20
2022-05-25,38.20,21.53,34.56
2022-05-26,37.94,22.11,34.33
2022-05-27,36.99,22.99,33.79
2022-05-28,36.50,23.39,33.72
2022-05-29,35.36,23.63,33.68
2022-05-30,32.28,22.83,29.98
2022-05-31,35.14,22.85,30.18
2022-06-01,34.08,23.65,28.31
2022-06-02,33.74,23.88,28.36
2022-06-03,32.85,23.42,28.98
2022-06-04,33.34,24.11,29.14
2022-06-05,34.06,24.35,29.17
2022-06-06,36.59,26.01,30.29
2022-06-07,35.29,26.37,30.55
2022-06-08,35.43,26.87,30.06
2022-06-09,35.07,27.19,29.20
2022-06-10,36.50,27.43,28.16
2022-06-11,35.98,26.94,27.99
2022-06-12,35.70,26.91,27.86
2022-06-13,34.90,26.80,27.87
2022-06-14,33.79,27.20,26.57
2022-06-15,33.52,27.64,26.00
2022-06-16,33.27,27.45,25.23
2022-06-17,30.63,27.75,24.48
2022-06-18,30.57,27.61,24.48
2022-06-19,30.54,27.31,24.51
2022-06-20,28.59,26.44,21.87
2022-06-21,30.35,27.97,25.35
2022-06-22,30.06,28.36,23.43
2022-06-23,30.15,28.77,23.34
2022-06-24,33.36,29.71,23.90
2022-06-25,33.60,30.32,23.94
2022-06-26,33.42,31.13,24.02
2022-06-27,35.76,32.34,26.31
2022-06-28,33.93,30.95,25.57
2022-06-29,34.63,31.85,25.60
2022-06-30,34.78,32.53,25.92
2022-07-01,34.95,33.03,25.99
2022-07-02,35.00,33.08,26.56
2022-07-03,34.97,33.00,26.96
2022-07-04,32.83,31.73,23.27
2022-07-05,34.52,31.78,23.71
2022-07-06,33.85,32.32,22.88
2022-07-07,33.44,32.42,24.67
2022-07-08,32.62,32.57,25.15
2022-07-09,32.69,33.13,25.41
2022-07-10,33.14,33.61,25.59
2022-07-11,35.39,36.77,28.45
2022-07-12,36.41,37.50,28.07
2022-07-13,36.36,37.85,29.30
2022-07-14,36.70,38.78,30.39
2022-07-15,38.36,39.28,29.96
2022-07-16,38.75,39.20,29.91
2022-07-17,38.68,39.10,29.95
2022-07-18,38.53,38.24,29.86
2022-07-19,37.40,38.36,30.04
2022-07-20,37.45,38.60,30.22
2022-07-21,37.84,38.63,31.35
2022-07-22,37.38,38.81,31.55
2022-07-23,36.86,38.70,31.70
2022-07-24,36.91,38.63,31.74
2022-07-25,37.18,38.82,32.07
2022-07-26,36.16,38.40,32.44
2022-07-27,35.93,38.81,32.59
2022-07-28,35.56,38.84,32.38
2022-07-29,33.79,38.49,32.77
2022-07-30,33.71,37.05,32.64
2022-07-31,33.54,35.67,32.52
2022-08-01,32.96,37.48,32.42
2022-08-02,31.93,37.52,32.54
2022-08-03,31.92,36.60,32.04
2022-08-04,31.43,35.92,31.73
2022-08-05,30.31,35.58,30.93
2022-08-06,30.16,35.27,30.84
2022-08-07,30.01,35.10,30.73
2022-08-08,29.36,34.20,29.73
2022-08-09,27.63,33.51,29.13
2022-08-10,26.97,33.05,28.95
2022-08-11,26.94,32.43,29.07
2022-08-12,25.84,32.05,28.72
2022-08-13,25.67,32.02,28.56
2022-08-14,25.53,31.92,28.33
2022-08-15,25.35,31.25,28.56
2022-08-16,24.05,31.05,29.15
2022-08-17,23.71,29.93,28.50
2022-08-18,23.54,29.78,27.16
2022-08-19,23.03,29.35,26.96
2022-08-20,22.90,29.22,27.03
2022-08-21,22.85,29.19,27.12
2022-08-22,22.61,28.94,26.07
2022-08-23,21.92,29.03,25.06
2022-08-24,21.90,28.70,27.53
2022-08-25,21.86,28.32,27.71
2022-08-26,21.28,27.93,27.17
2022-08-27,21.40,27.88,27.18
2022-08-28,21.32,27.92,27.14
2022-08-29,21.33,27.64,27.02
2022-08-30,20.48,28.44,26.92
2022-08-31,20.41,27.49,26.97
2022-09-01,20.22,27.33,26.36
2022-09-02,19.45,27.05,26.08
2022-09-03,19.34,26.80,25.90
2022-09-04,19.31,26.71,25.74
2022-09-05,17.63,23.23,24.39
2022-09-06,17.89,23.94,23.37
2022-09-07,17.46,22.10,22.07
2022-09-08,17.27,20.96,21.03
2022-09-09,15.36,20.10,21.08
2022-09-10,15.24,20.01,20.91
2022-09-11,15.28,19.64,20.86
2022-09-12,16.55,21.87,21.47
2022-09-13,12.36,18.81,21.56
2022-09-14,12.52,18.43,21.59
2022-09-15,15.36,17.41,21.61
2022-09-16,13.74,17.08,20.82
2022-09-17,13.82,16.70,20.55
2022-09-18,13.79,16.70,20.41
2022-09-19,13.40,15.75,20.16
2022-09-20,13.12,15.51,19.56
2022-09-21,13.90,14.45,19.25
2022-09-22,15.21,13.50,19.20
2022-09-23,15.15,12.84,18.98
2022-09-24,15.23,12.86,18.55
2022-09-25,15.26,12.59,18.24
2022-09-26,15.16,11.94,18.28
2022-09-27,15.01,11.51,17.67
2022-09-28,14.59,10.65,16.66
2022-09-29,13.81,10.29,16.20
2022-09-30,13.67,9.61,16.37
2022-10-01,13.56,9.48,16.12
2022-10-02,13.56,9.47,15.98
2022-10-03,13.57,8.92,16.00
2022-10-04,13.46,8.95,15.66
2022-10-05,13.40,9.01,15.32
2022-10-06,13.01,8.68,15.13
2022-10-07,12.84,8.40,14.96
2022-10-08,12.76,8.40,14.93
2022-10-09,12.70,8.35,14.93
2022-10-10,12.08,8.04,14.88
2022-10-11,12.43,7.96,14.71
2022-10-12,12.18,7.55,14.85
2022-10-13,11.61,7.72,14.45
2022-10-14,11.29,7.54,14.08
2022-10-15,10.98,7.53,14.01
2022-10-16,10.87,7.55,13.94
2022-10-17,11.74,7.67,13.72
2022-10-18,11.27,7.42,13.55

(1001 rows affected)


Completion time: 2023-04-19T20:35:56.7668506-04:00
